POS;POS_STD_DEV;POS_DIFF;WIDTH;WIDTH_STD_DEV
267,07;0,26;1;88,00;0,00
264,07;0,26;1;113,00;0,00
216,09;0,29;1;216,00;0,00
216,07;0,26;1;216,00;0,00
221,47;7,08;33;231,88;6,97
219,30;21,02;78;256,76;28,11
259,70;18,25;81;259,41;18,37
265,06;0,24;1;265,00;0,00
265,05;0,22;1;265,00;0,00
200,42;3,65;19;278,96;7,01
198,86;3,14;15;281,72;6,09
197,29;2,60;15;285,17;6,03
194,85;2,80;13;292,97;4,85
193,81;2,31;13;296,87;4,21
187,77;2,18;12;310,68;4,20
187,64;1,95;10;311,71;3,46
187,14;1,80;9;313,45;3,44
185,53;1,64;9;316,95;3,48
319,04;0,20;1;319,00;0,00
319,07;0,26;1;319,00;0,00
180,91;2,44;12;331,05;6,98
179,66;1,37;6;335,18;2,98
174,70;0,87;4;352,01;2,65
169,89;0,73;4;373,94;3,93
168,91;0,85;4;378,85;5,10
168,42;1,33;5;383,07;9,85
167,13;0,58;3;393,27;6,71
165,19;0,42;2;413,97;6,12
164,64;0,52;2;423,56;6,27
163,13;0,34;1;456,24;6,78
162,96;0,32;2;474,79;8,88
162,64;0,48;1;485,76;14,02
161,15;0,36;1;541,98;11,51
160,03;0,27;2;584,24;10,24
159,67;0,47;1;616,06;11,56
160,03;0,17;1;627,21;8,70
160,10;0,30;1;633,08;13,32
159,12;0,33;1;1420,24;32,21
125,30;31,97;73;1790,65;395,91
159,07;0,26;1;1814,93;23,57
159,06;0,24;1;1945,45;19,33
159,09;0,29;1;2001,51;17,04
159,05;0,22;1;2002,49;18,06
159,07;0,29;2;2004,22;16,59
159,07;0,26;1;2004,85;10,47
159,11;0,32;1;2005,12;10,50
159,08;0,27;1;2006,04;11,33
159,07;0,26;1;2006,54;10,36
159,08;0,27;1;2007,88;11,53
159,09;0,29;1;2050,12;19,08
159,04;0,20;1;2051,96;9,02
